"Package","Version"
"lubridate","1.9.2"
"magic","1.6-1"
"magrittr","2.0.3"
"manipulateWidget","0.11.1"
"mapproj","1.2.11"
"maps","3.4.1"
"maptools","1.1-6"
"markdown","1.12"
"mashr","0.2.79"
"MASS","7.3-58.1"
"mathjaxr","1.6-0"
"Matrix","1.5-4.1"
"Matrix.utils","0.9.8"
"matrixcalc","1.0-6"
"MatrixGenerics","1.10.0"
"MatrixModels","0.5-1"
"matrixStats","1.0.0"
"MCL","1.0"
"mclust","6.1"
"mcmc","0.9-8"
"MCMCglmm","2.36"
"MCMCpack","1.7-0"
"MCMCprecision","0.4.0"
"memoise","2.0.1"
"memuse","4.2-3"
"MetaNeighbor","1.18.0"
"metapod","1.6.0"
"methods","4.2.0"
"mgcv","1.8-41"
"mime","0.12"
"MIND","0.3.3"
"miniUI","0.1.1.1"
"minqa","1.2.5"
"mixsqp","0.3-54"
"mixtools","2.0.0"
"mlr","2.19.1"
"mlrMBO","1.1.5.1"
"mnormt","2.1.1"
"ModelMetrics","1.2.2.2"
"modelr","0.1.10"
"monocle","2.26.0"
"monocle3","1.3.1"
"mpoly","1.1.1"
"msigdbr","7.5.1"
"multcompView","0.1-9"
"multicool","1.0.1"
"multimode","1.5"
"multtest","2.54.0"
"munsell","0.5.0"
"muRty","0.3.1"
"MuSiC","1.0.0"
"mvtnorm","1.2-2"
"ncdf4","1.23"
"NCmisc","1.2.0"
"Nebulosa","1.8.0"
"network","1.18.1"
"networkD3","0.4"
"nichenetr","2.1.0"
"nleqslv","3.3.5"
"nlme","3.1-161"
"nloptr","2.0.3"
"NMF","0.30.4.900"
"nnet","7.3-18"
"NNLM","0.4.4"
"nnls","1.5"
"nortest","1.0-4"
"npsurv","0.5-0"
"numbers","0.8-5"
"numDeriv","2016.8-1.1"
"oompaBase","3.2.9"
"openssl","2.0.2"
"openxlsx","4.2.5.2"
"optimParallel","1.0-2"
"optparse","1.7.3"
"org.Bt.eg.db","3.16.0"
"org.Hs.eg.db","3.16.0"
"orthopolynom","1.0-6.1"
"outliers","0.15"
"paletteer","1.5.0"
"palmerpenguins","0.1.1"
"palr","0.3.0"
"pals","1.7"
"parallel","4.2.0"
"parallelly","1.38.0"
"parallelMap","1.5.1"
"parameters","0.21.3"
"ParamHelpers","1.14.1"
"partitions","1.10-7"
"patchwork","1.2.0"
"pathview","1.38.0"
"pbapply","1.7-0"
"pbkrtest","0.5.1"
"pbmcapply","1.5.1"
"pcaMethods","1.90.0"
"pcaPP","2.0-3"
"pedigreemm","0.3-4"
"performance","0.10.8"
"permute","0.9-7"
"phangorn","2.12.1"
"pheatmap","1.0.12"
"philentropy","0.9.0"
"phytools","2.3-0"
"pillar","1.9.0"
"pinfsc50","1.3.0"
"pixmap","0.4-13"
"pkgbuild","1.3.1"
"pkgconfig","2.0.3"
"pkgdown","2.0.7"
"pkgload","1.3.2"
"pkgmaker","0.32.10"
"plogr","0.2.0"
"plotly","4.10.2"
"plotrix","3.8-4"
"plumber","1.2.2"
"plyr","1.8.8"
"PMCMRplus","1.9.10"
"png","0.1-8"
"polyclip","1.10-4"
"polynom","1.4-1"
"poorman","0.2.7"
"posterior","1.6.0"
"pracma","2.4.2"
"praise","1.0.0"
"preprocessCore","1.61.0"
"presto","1.0.0"
"prettyunits","1.1.1"
"princurve","2.1.6"
"prismatic","1.1.1"
"pROC","1.18.0"
"processx","3.8.0"
"prodlim","2019.11.13"
"profvis","0.3.7"
"progress","1.2.2"
"progressr","0.14.0"
"promises","1.2.0.1"
"proxy","0.4-27"
"proxyC","0.4.1"
"ps","1.7.2"
"pscl","1.5.5.1"
"psych","2.3.6"
"purrr","1.0.2"
"qap","0.1-2"
"qlcMatrix","0.9.7"
"qqman","0.1.9"
"quadprog","1.5-8"
"quantmod","0.4.26"
"quantreg","5.94"
"QuickJSR","1.2.2"
